excluded_wave,attr_coef,attr_se,attr_rank,N,CI_low,CI_high
1,0.086668,0.005529,1,5546,0.07583,0.097505
2,0.083758,0.005749,1,5237,0.07249,0.095026
3,0.086809,0.005566,1,5563,0.0759,0.097718
4,0.084526,0.005937,1,5202,0.07289,0.096162
5,0.086085,0.005587,1,5569,0.075133,0.097036
10,0.086576,0.005518,1,5605,0.07576,0.097392
11,0.087425,0.005889,1,4965,0.075883,0.098968
12,0.085556,0.005651,1,5391,0.074479,0.096632
13,0.087845,0.004965,1,5580,0.078114,0.097576
14,0.087224,0.005761,1,5154,0.075933,0.098515
15,0.08403,0.005567,1,5236,0.073119,0.094942
16,0.086621,0.005483,1,5647,0.075875,0.097368
17,0.08678,0.005519,1,5475,0.075962,0.097598
18,0.08674,0.005465,1,5669,0.076028,0.097452
19,0.086774,0.005729,1,5329,0.075545,0.098002
20,0.087085,0.005519,1,5658,0.076268,0.097902
21,0.090195,0.00604,1,4918,0.078356,0.102034
